sItem_code,seq,id,descr,fApp_code,tCode_code,semanticObject,semanticAction,bRole_code,,
18J,022,18J.022,Create Supplier Invoice,F0859,,SupplierInvoice,displayFactSheet,SAP_BR_AP_ACCOUNTANT,,
18J,023,18J.023,Create Purchase Requisition with Auto-Reservation(Create Purchase Requisition),F1643,,PurchaseRequisition,manageAdvanced,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,024,18J.024,Check My Purchase Requisition(My Purchase Requisitions),F1639,,PurchaseRequisition,manageLineItems,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,025,18J.025,Post Goods Issue for Reservation(Post Goods Movement),,VLMOVE,HandlingUnit,moveInWebGui,SAP_BR_INVENTORY_MANAGER,,
18J,026,18J.026,Post Goods Issue for Reservation(Post Goods Movement),,MIGO,Material,postGoodsMovementInWebGUI,SAP_BR_INVENTORY_MANAGER,,
19C,001,19C.001,Create Activity(Manage Procurement-Related Activities - Deprecated),F2192,,,,,,
19C,002,19C.002,Create Tasks(Manage Procurement-Related Activities - Deprecated),F2192,,,,,,
19C,003,19C.003,Send Tasks(Manage Procurement-Related Activities - Deprecated),F2192,,,,,,
19C,004,19C.004,Submit Tasks(Process Procurement-Related Tasks - Deprecated),F2196,,,,,,
19C,005,19C.005,Monitor Tasks(Monitor Procurement-Related Tasks - Deprecated),F2195,,,,,,
19E,001,19E.001,Display Suppliers and Maintain Supplier Portfolio Information (Optional)(Display Suppliers),,MKVZ,Supplier,displayPurchasingDetails,SAP_BR_PURCHASER,,
19E,002,19E.002,Display Suppliers and Maintain Supplier Portfolio Information (Optional)(Display Suppliers - Procurement),F3371,,,,,,
19E,003,19E.003,Create Purchasing Categories(Manage Purchasing Categories),F0337,,PurchasingCategory,displayFactSheet,SAP_BR_PURCHASER,,
19E,004,19E.004,Manage Purchasing Categories,F0337,,PurchasingCategory,displayFactSheet,SAP_BR_PURCHASER,,
1B6,001,1B6.001,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,002,1B6.002,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,003,1B6.003,Delta Accruals Settlement (Optional)(Settle Condition Contracts),,WB2R_SV,ConditionContract,settleSupplierAdvanced,SAP_BR_AP_ACCOUNTANT,,
1B6,004,1B6.004,Delta Accruals Settlement (Optional)(Settle Condition Contracts),,WB2R_SC,ConditionContract,settleCustomerAdvanced,SAP_BR_BILLING_CLERK,,
1B6,005,1B6.005,Check Settlement Document for Delta Accruals Settlement (Optional)(Manage Settlement Documents),F3254,,SettlementDocument,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,006,1B6.006,Check Business Volume (Optional)(Display Business Volume),,WB2R_BUSVOL,SupplierRebateAgreement,displayBusinessVolumeAdvanced,SAP_BR_AP_ACCOUNTANT,,
1B6,007,1B6.007,Partial Settlement with Reversal of Accruals (Optional)(Settle Condition Contracts),,WB2R_SV,ConditionContract,settleSupplierAdvanced,SAP_BR_AP_ACCOUNTANT,,
1B6,008,1B6.008,Partial Settlement with Reversal of Accruals (Optional)(Settle Condition Contracts),,WB2R_SC,ConditionContract,settleCustomerAdvanced,SAP_BR_BILLING_CLERK,,
1B6,009,1B6.009,Check Settlement Document for Partial Settlement (Optional)(Manage Settlement Documents),F3254,,SettlementDocument,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,010,1B6.010,Check Settlement Document for Partial Settlement (Optional)(Display Document),FPE3,,CADocument,display,SAP_BR_ADMIN_APR_FICA,,
1B6,011,1B6.011,Final Settlement with Reversal of Accruals(Settle Condition Contracts),,WB2R_SV,ConditionContract,settleSupplierAdvanced,SAP_BR_AP_ACCOUNTANT,,
1B6,012,1B6.012,Final Settlement with Reversal of Accruals(Settle Condition Contracts),,WB2R_SC,ConditionContract,settleCustomerAdvanced,SAP_BR_BILLING_CLERK,,
1B6,013,1B6.013,Create Condition Contract for Multiple Customers as Contract Partners(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,014,1B6.014,Create Condition Contract for Multiple Customers as Contract Partners(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,015,1B6.015,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,016,1B6.016,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,017,1B6.017,Collect Parked Settlement Documents for Transfer to Accounting (Optional)(Collect Settlement Documents),,WZRC,SettlementDocument,collect,SAP_BR_AP_ACCOUNTANT,,
1B6,018,1B6.018,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,019,1B6.019,Create Condition Contract for One Customer as Contract Partner(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,020,1B6.020,Request Approval to Release Condition Contract(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,021,1B6.021,Request Approval to Release Condition Contract(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,022,1B6.022,Trigger Rework of Condition Contract (Optional)(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,023,1B6.023,Trigger Rework of Condition Contract (Optional)(My Inbox - All Items),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,024,1B6.024,Rework Condition Contract (Optional)(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,025,1B6.025,Rework Condition Contract (Optional)(My Inbox - All Items),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,026,1B6.026,Release Condition Contract(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,027,1B6.027,Release Condition Contract(My Inbox - All Items),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,028,1B6.028,Request Release of Condition Contract for Settlement(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,029,1B6.029,Request Release of Condition Contract for Settlement(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,030,1B6.030,Release of Condition Contract for Settlement(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,031,1B6.031,Release of Condition Contract for Settlement(My Inbox - All Items),F2097,,ChangeRecord,displayFactSheet,SAP_BR_BOM_ENGINEER,,
1B6,032,1B6.032,Approve Release of Partial Settlement Document to Accounting (Optional)(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,033,1B6.033,Approve Release of Partial Settlement Document to Accounting (Optional)(My Inbox - All Items),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
1B6,034,1B6.034,Final Settlement with Adjustments (Optional)(Manage Condition Contracts),F6740,,SupplierRebateAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1B6,035,1B6.035,Final Settlement with Adjustments (Optional)(Manage Condition Contracts - Sales Rebates),F6739,,SalesRebateAgreement,manage,SAP_BR_BILLING_CLERK,,
1B6,036,1B6.036,CFDI 3.3 eDocument Cockpit(eDocument Cockpit),,EDOC_COCKPIT,ElectronicDocument,cockpit,SAP_BR_AR_ACCOUNTANT_CL,,
1B6,037,1B6.037,Reverse Settlement Document (Optional)(Reverse Settlement Documents),,WB2R_CANCEL_DOCS,ConditionContract,reverseSettlementDocumentsAdvanced,SAP_BR_AP_ACCOUNTANT,,
1B6,038,1B6.038,Reverse Settlement Document (Optional)(Reverse Settlement Documents - Condition Contracts),,WB2R_CANCEL_DOCS,ConditionContract,reverseSettlementDocumentsAdvanced,SAP_BR_AP_ACCOUNTANT,,
1BM,001,1BM.001,Create Planned Independent Requirements(Maintain PIRs),F3445,,ForecastDemand,maintain,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,002,1BM.002,Material Requirements Planning(Schedule MRP Runs),F1339,,MRPRun,schedule,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,003,1BM.003,Monitor Material Coverage,F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,004,1BM.004,Monitor Material Coverage(Monitor Material Coverage - Net / Individual Segments),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,005,1BM.005,Create Production Order(Monitor Material Coverage),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,006,1BM.006,Create Production Order(Monitor Material Coverage - Net / Individual Segments),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,007,1BM.007,Release Production Order(Manage Production Orders),F2336,,ManufacturingOrderItem,manage,SAP_BR_PRODN_SUPERVISOR_DISC,,
1BM,008,1BM.008,Confirm Production Order for Semifinished Product(Confirm Production Order Operation),,CO11N,ProductionOrderConfirmation,createTimeTicket,SAP_BR_PRODN_OPTR_DISC,,
1BM,009,1BM.009,Review Production Order for Semifinished Product(Manage Production Operations),F2335,,ManufacturingOrderOperation,manage,SAP_BR_PRODN_SUPERVISOR_DISC,,
1BM,010,1BM.010,Create Sales Order for Finished Product(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1BM,011,1BM.011,Monitor Material Coverage for Semifinished Product(Monitor Material Coverage),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,012,1BM.012,Monitor Material Coverage for Semifinished Product(Monitor Material Coverage - Net / Individual Segments),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,013,1BM.013,Material Requirements Planning for Finished Product(Schedule MRP Runs),F1339,,MRPRun,schedule,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,014,1BM.014,Monitor Material Coverage for Semifinished and Finished Product(Monitor Material Coverage),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1BM,015,1BM.015,Monitor Material Coverage for Semifinished and Finished Product(Monitor Material Coverage - Net / Individual Segments),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1E1,001,1E1.001,Make-to-Order Production - Semifinished Goods Planning and Assembly (1BM)(Manage Stock),F1062,,Material,manageStock,SAP_BR_INVENTORY_MANAGER,,
1E1,002,1E1.002,Make-to-Order Production - Semifinished Goods Planning and Assembly (1BM)(Create Production Order),,CO01,ProductionOrder,create,SAP_BR_PRODN_SUPERVISOR_DISC,,
1E1,003,1E1.003,Display Inspection Plan for Inspection Characteristics(Display Inspection Plan),,QP03,InspectionBillOfOperations,display,SAP_BR_QUALITY_ENGINEER,,
1E1,004,1E1.004,Post Goods Receipt for Production Order,F3110,,ProductionOrder,createGR,SAP_BR_WAREHOUSE_CLERK,,
1E1,005,1E1.005,Display Material Stock Before Quality Inspection(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1E1,006,1E1.006,Display Material Stock Before Quality Inspection(Manage Stock),F1062,,Material,manageStock,SAP_BR_INVENTORY_MANAGER,,
1E1,007,1E1.007,Display Material Stock Before Quality Inspection(Manage Inspection Lots),F2343,,InspectionLot,manage,SAP_BR_QUALITY_ENGINEER,,
1E1,008,1E1.008,Display Material Stock Before Quality Inspection(Stock - Single Material),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1E1,009,1E1.009,Display Quality Technician Overview (Optional)(Quality Technician Overview),F2361,,InspectionLot,displayOverviewQualityTechnician,SAP_BR_QUALITY_TECHNICIAN,,
1E1,010,1E1.010,Display Open Inspection Lot(Manage Inspection Lots),F2343,,InspectionLot,manage,SAP_BR_QUALITY_ENGINEER,,
1E1,011,1E1.011,Display Inspection Methods,F0311A,,InspectionMethod,displayFactSheet,SAP_BR_QUALITY_ENGINEER,,
1E1,012,1E1.012,Record Inspection Results,,Deprecated,,,,,
1E1,013,1E1.013,Record Inspection Results(Record Inspection Results in Table Form),F3365,,InspectionCharacteristic,recordMltplResults,SAP_BR_QUALITY_TECHNICIAN,,
1E1,014,1E1.014,Display Quality Engineer Overview (Optional)(Quality Engineer Overview),F2360,,InspectionLot,displayOverviewQualityEngineer,SAP_BR_PLANT_MANAGER,,
1E1,015,1E1.015,Display Quality Engineer Overview (Optional)(Manage Defects),F2649,,Defect,manage,SAP_BR_PLANT_MANAGER,,
1E1,016,1E1.016,Make Usage Decision(Manage Usage Decisions),F2345,,InspectionLot,manageUsageDecision,SAP_BR_QUALITY_ENGINEER,,
1E1,017,1E1.017,Make Usage Decision(Quality Engineer Overview),F2360,,InspectionLot,displayOverviewQualityEngineer,SAP_BR_PLANT_MANAGER,,
1E1,018,1E1.018,Display Material Stock after Quality Inspection(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1E1,019,1E1.019,Display Material Stock after Quality Inspection(Stock - Single Material),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1E1,020,1E1.020,Display Inspection Results History (Optional)(Display Results History),F2428,,InspectionResult,displayHistory,SAP_BR_QUALITY_ENGINEER,,
1E1,021,1E1.021,Make-to-Stock Production - Discrete Manufacturing (BJ5)(Manage Stock),F1062,,Material,manageStock,SAP_BR_INVENTORY_MANAGER,,
1E1,022,1E1.022,Make-to-Stock Production - Discrete Manufacturing (BJ5)(Create Production Order),,CO01,ProductionOrder,create,SAP_BR_PRODN_SUPERVISOR_DISC,,
1E1,023,1E1.023,Make-to-Stock Production - Discrete Manufacturing (BJ5)(Confirm Production Order Operation),,CO11N,ProductionOrderConfirmation,createTimeTicket,SAP_BR_PRODN_OPTR_DISC,,
1E1,024,1E1.024,Display Routing for Inspection Characteristics(Display Routing),,CA03,ProductionRouting,display,SAP_BR_PRODN_ENG_DISC,,
1E1,025,1E1.025,Display Quality Technician Overview (Optional)(Quality Technician Overview),F2361,,InspectionLot,displayOverviewQualityTechnician,SAP_BR_QUALITY_TECHNICIAN,,
1E1,026,1E1.026,Display Open Inspection Lot(Manage Inspection Lots),F2343,,InspectionLot,manage,SAP_BR_QUALITY_ENGINEER,,
1E1,027,1E1.027,Display Inspection Methods,F0311A,,InspectionMethod,displayFactSheet,SAP_BR_QUALITY_ENGINEER,,
1E1,028,1E1.028,Record Inspection Result Before Activation of the Control Chart(Record Inspection Results),F1685A,,InspectionCharacteristic,recordInspectionResults,SAP_BR_QUALITY_TECHNICIAN,,
1E1,029,1E1.029,Record Inspection Result Before Activation of the Control Chart(Record Inspection Results - Hierarchical Worklist),,QE51N,InspectionOperation,recordResultsWorklist,SAP_BR_QUALITY_TECHNICIAN,,
1E1,030,1E1.030,Record Inspection Result Before Activation of the Control Chart(Record Results for Inspection Points),F2689,,InspectionSubset,recordResults,SAP_BR_QUALITY_TECHNICIAN,,
1E1,031,1E1.031,Analyze and Activate Control Chart (Optional)(Manage Control Charts),F2810,,QualityControlChart,manage,SAP_BR_QUALITY_ENGINEER,,
1E1,032,1E1.032,Make Usage Decision(Manage Usage Decisions),F2345,,InspectionLot,manageUsageDecision,SAP_BR_QUALITY_ENGINEER,,
1E1,033,1E1.033,Confirm Production Order Operation,,CO11N,ProductionOrderConfirmation,createTimeTicket,SAP_BR_PRODN_OPTR_DISC,,
1E1,034,1E1.034,Review Production Order(Manage Production Orders),F2336,,ManufacturingOrderItem,manage,SAP_BR_PRODN_SUPERVISOR_DISC,,
1E1,035,1E1.035,Make-to-Stock Production - Discrete Manufacturing (BJ5)(Confirm Production Order Operation),,CO11N,ProductionOrderConfirmation,createTimeTicket,SAP_BR_PRODN_OPTR_DISC,,
1E1,036,1E1.036,Create Raw Material Stock(Post Goods Movement),,VLMOVE,HandlingUnit,moveInWebGui,SAP_BR_INVENTORY_MANAGER,,
1E1,037,1E1.037,Create Raw Material Stock(Post Goods Movement),,MIGO,Material,postGoodsMovementInWebGUI,SAP_BR_INVENTORY_MANAGER,,
1E1,038,1E1.038,Goods Issue of Batch-Managed Components via Pick List(Pick Components for Production Orders),,CO27,ProductionOrder,pickComponents,SAP_BR_PRODN_OPTR_DISC,,
1E1,039,1E1.039,Confirm Production Operations(Confirm Production Order Operation),,CO11N,ProductionOrderConfirmation,createTimeTicket,SAP_BR_PRODN_OPTR_DISC,,
1E1,040,1E1.040,Execute Quality Inspection With Inspection Points(Record Results for Inspection Points),F2689,,InspectionSubset,recordResults,SAP_BR_QUALITY_TECHNICIAN,,
1E1,041,1E1.041,Post Goods Receipt for Order(Post Goods Movement),,VLMOVE,HandlingUnit,moveInWebGui,SAP_BR_INVENTORY_MANAGER,,
1E1,042,1E1.042,Post Goods Receipt for Order(Post Goods Movement),,MIGO,Material,postGoodsMovementInWebGUI,SAP_BR_INVENTORY_MANAGER,,
1E1,043,1E1.043,Review Batch Data (Optional)(Manage Batches),F2462,,Batch,displayFactSheet,SAP_BR_BATCH_MASTER_SPCLST,,
1E3,001,1E3.001,Create Planned Independent Requirements(Maintain PIRs),F3445,,ForecastDemand,maintain,SAP_BR_MATL_PLNR_EXT_PROC,,
1E3,002,1E3.002,Material Requirements Planning(Schedule MRP Runs),F1339,,MRPRun,schedule,SAP_BR_MATL_PLNR_EXT_PROC,,
1E3,003,1E3.003,Check Dependent Requirement of Material RM233-4(Monitor Material Coverage),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1E3,004,1E3.004,Check Dependent Requirement of Material RM233-4(Monitor Material Coverage - Net / Individual Segments),F2101A,,MRPPlanningSegment,monitorSegment,SAP_BR_MATL_PLNR_EXT_PROC,,
1E3,005,1E3.005,Release Scheduling Agreement(Manage Purchase Scheduling Agreements),F2179,,PurchaseSchedulingAgreement,manage,SAP_BR_AP_ACCOUNTANT,,
1E3,006,1E3.006,Set Available Kanban to EMPTY(Set Kanban Container Status),F3717,,KanbanContainer,setStatus,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,007,1E3.007,Set Available Kanban to EMPTY(Kanban Board),F4630,,ProductionSupplyControlCycle,monitor,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,008,1E3.008,Option A: Change the Kanban to FULL(Set Kanban Container Status),F3717,,KanbanContainer,setStatus,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,009,1E3.009,Option B: Goods Receipt for JIT Call(Goods Receipt for JIT Call),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,010,1E3.010,Option B: Goods Receipt for JIT Call(Goods Receipt for JIT Call),,PJWE,,,,,
1E3,011,1E3.011,Precalculation of Kanbans for Future Requirements (Optional)(Kanban Calculation),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,012,1E3.012,Precalculation of Kanbans for Future Requirements (Optional)(Distribution for Kanban Calculation),,PKDIS,,,,,
1E3,013,1E3.013,Precalculation of Kanbans for Future Requirements (Optional)(Kanban Calculation),,PK07,,,,,
1E3,014,1E3.014,Release Proposal of Kanbans Required for Future Period (Optional)(Check Kanban Calculation Result),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,015,1E3.015,Release Proposal of Kanbans Required for Future Period (Optional)(Check Kanban Calculation Result),,PK08N,,,,,
1E3,016,1E3.016,Check Changes and Calculation Base in Control Cycle (Optional)(Manage Kanban Control Cycles),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,017,1E3.017,Check Changes and Calculation Base in Control Cycle (Optional)(Kanban Calculation),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,018,1E3.018,Check Changes and Calculation Base in Control Cycle (Optional)(Manage Kanban Control Cycles),,PKMC,,,,,
1E3,019,1E3.019,Unlock New Kanbans (Optional)(Unlock Kanban Containers),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,020,1E3.020,Unlock New Kanbans (Optional)(Unlock Kanban Containers),,PK09,,,,,
1E3,021,1E3.021,Alert for Delayed Replenishments - Creation of Replenishment Elements / JIT Calls (Optional)(Display Kanbans: Demand View),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,022,1E3.022,Alert for Delayed Replenishments - Creation of Replenishment Elements / JIT Calls (Optional)(Display Kanbans: Demand View),,PK13N,,,,,
1E3,023,1E3.023,Alert for Delayed Replenishments - Evaluation of Replenishment Elements / JIT Calls (Optional)(Due Kanban Replenishment Elements),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,024,1E3.024,Alert for Delayed Replenishments - Evaluation of Replenishment Elements / JIT Calls (Optional)(Due Kanban Replenishment Elements),,PKAL,,,,,
1E3,025,1E3.025,Create Event-Driven Kanban(Kanban Board),F4630,,ProductionSupplyControlCycle,monitor,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,026,1E3.026,Variant 1: Set Kanban to FULL(Set Kanban Container Status),F3717,,KanbanContainer,setStatus,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,027,1E3.027,Variant 1: Set Kanban to FULL(Production Supply Area),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,028,1E3.028,Variant 2: Goods Receipt(Post Goods Receipt for Purchasing Document),F0843,,PurchaseOrder,createGR,SAP_BR_INVENTORY_MANAGER,,
1E3,029,1E3.029,Set Available Kanban to EMPTY(Set Kanban Container Status),F3717,,KanbanContainer,setStatus,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,030,1E3.030,Set Available Kanban to EMPTY(Production Supply Area),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1E3,031,1E3.031,Set Kanban to Empty(Kanban Board),F4630,,ProductionSupplyControlCycle,monitor,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,032,1E3.032,Set Kanban to Empty(Manage Purchase Orders),F0842A,,PurchaseOrder,manage,SAP_BR_ADMINISTRATOR_SLL,,
1E3,033,1E3.033,Set Kanban to Full(Kanban Board),F4630,,ProductionSupplyControlCycle,monitor,SAP_BR_PRODN_OPTR_LEAN_MFG,,
1E3,034,1E3.034,Set Kanban to Full(Material Documents Overview),F1077,,MaterialMovement,displayList,SAP_BR_ADMINISTRATOR_RFM,,
1E3,035,1E3.035,Kanban Control Cycles Analysis (Optional)(Kanban Control Cycles Analysis),F5235,,KanbanControlCycle,analyzeStateOfContainers,SAP_BR_PRODN_PLNR_LEAN_MFG,,
